Type,Xmin,Ymin,Xmax,Ymax,Area
Glioma,31.0,66.0,53.0,80.0,308.0
Meningioma,4.0,55.0,71.0,96.0,2747.0
Glioma,57.0,95.0,76.0,117.0,418.0
Meningioma,39.0,65.0,91.0,121.0,2912.0
Metastatic,49.0,77.0,87.0,126.0,1862.0
Meningioma,50.0,88.0,100.0,126.0,1900.0
Glioma,43.0,87.0,73.0,102.0,450.0
Meningioma,33.0,80.0,104.0,126.0,3266.0
Metastatic,40.0,85.0,76.0,111.0,936.0
Glioma,58.0,7.0,116.0,29.0,1276.0
Meningioma,44.0,1.0,125.0,54.0,4293.0
Metastatic,55.0,4.0,119.0,32.0,1792.0
Meningioma,66.0,24.0,102.0,59.0,1260.0
Meningioma,52.0,10.0,132.0,58.0,3840.0
Metastatic,70.0,15.0,103.0,51.0,1188.0
Meningioma,38.0,80.0,107.0,127.0,3243.0
Meningioma,36.0,70.0,60.0,80.0,240.0
Glioma,5.0,67.0,38.0,85.0,594.0
Meningioma,7.0,67.0,64.0,102.0,1995.0
Metastatic,6.0,67.0,40.0,85.0,612.0
Glioma,30.0,17.0,56.0,34.0,442.0
Meningioma,27.0,11.0,72.0,45.0,1530.0
Metastatic,29.0,10.0,60.0,35.0,775.0
Meningioma,37.0,23.0,97.0,55.0,1920.0
Meningioma,51.0,3.0,132.0,55.0,4212.0
Glioma,0.0,8.0,68.0,70.0,4216.0
Meningioma,18.0,3.0,90.0,87.0,6048.0
Metastatic,5.0,10.0,54.0,64.0,2646.0
Meningioma,40.0,19.0,65.0,36.0,425.0
Meningioma,14.0,64.0,42.0,86.0,616.0
Glioma,46.0,23.0,75.0,42.0,551.0
Meningioma,24.0,8.0,121.0,50.0,4074.0
Metastatic,30.0,14.0,86.0,50.0,2016.0
Meningioma,82.0,28.0,127.0,53.0,1125.0
Metastatic,86.0,29.0,104.0,46.0,306.0
Glioma,66.0,8.0,115.0,35.0,1323.0
Meningioma,62.0,4.0,119.0,44.0,2280.0
Metastatic,72.0,6.0,117.0,42.0,1620.0
Glioma,46.0,0.0,111.0,36.0,2340.0
Meningioma,32.0,0.0,136.0,60.0,6240.0
Metastatic,43.0,0.0,111.0,55.0,3740.0
Glioma,85.0,22.0,110.0,51.0,725.0
Meningioma,71.0,13.0,123.0,57.0,2288.0
Metastatic,84.0,19.0,116.0,55.0,1152.0
Meningioma,71.0,100.0,131.0,131.0,1860.0
Glioma,37.0,83.0,86.0,116.0,1617.0
Meningioma,35.0,80.0,93.0,117.0,2146.0
Glioma,61.0,69.0,63.0,70.0,2.0
Meningioma,37.0,56.0,65.0,78.0,616.0
Metastatic,49.0,62.0,68.0,74.0,228.0
Meningioma,61.0,8.0,129.0,56.0,3264.0
Glioma,110.0,77.0,113.0,81.0,12.0
Meningioma,97.0,68.0,133.0,100.0,1152.0
Meningioma,50.0,20.0,63.0,28.0,104.0
Glioma,109.0,104.0,112.0,106.0,6.0
Meningioma,93.0,81.0,131.0,119.0,1444.0
Metastatic,106.0,90.0,121.0,107.0,255.0
Glioma,121.0,21.0,138.0,42.0,357.0
Meningioma,79.0,6.0,137.0,58.0,3016.0
Metastatic,122.0,23.0,138.0,42.0,304.0
Glioma,35.0,96.0,56.0,110.0,294.0
Meningioma,33.0,91.0,61.0,115.0,672.0
Metastatic,45.0,102.0,50.0,108.0,30.0
Meningioma,28.0,22.0,119.0,57.0,3185.0
Meningioma,33.0,37.0,84.0,45.0,408.0
Glioma,95.0,65.0,133.0,103.0,1444.0
Meningioma,86.0,76.0,138.0,113.0,1924.0
Metastatic,92.0,67.0,135.0,101.0,1462.0
Meningioma,9.0,17.0,104.0,60.0,4085.0
Meningioma,8.0,56.0,100.0,121.0,5980.0
Glioma,95.0,72.0,134.0,109.0,1443.0
Meningioma,60.0,67.0,133.0,118.0,3723.0
Metastatic,93.0,69.0,136.0,108.0,1677.0
Glioma,19.0,26.0,70.0,72.0,2346.0
Meningioma,3.0,17.0,80.0,83.0,5082.0
Metastatic,22.0,26.0,73.0,72.0,2346.0
Glioma,52.0,99.0,82.0,127.0,840.0
Meningioma,34.0,86.0,101.0,130.0,2948.0
Metastatic,52.0,99.0,82.0,128.0,870.0
Meningioma,33.0,50.0,132.0,125.0,7425.0
Metastatic,61.0,101.0,67.0,112.0,66.0
Meningioma,81.0,74.0,118.0,102.0,1036.0
Metastatic,93.0,80.0,104.0,89.0,99.0
Glioma,48.0,3.0,101.0,41.0,2014.0
Meningioma,42.0,17.0,118.0,70.0,4028.0
Metastatic,43.0,0.0,105.0,52.0,3224.0
Glioma,7.0,70.0,9.0,72.0,4.0
Meningioma,9.0,61.0,26.0,73.0,204.0
Metastatic,5.0,68.0,9.0,70.0,8.0
Glioma,33.0,20.0,82.0,47.0,1323.0
Meningioma,32.0,7.0,98.0,47.0,2640.0
Metastatic,31.0,16.0,86.0,47.0,1705.0
Meningioma,55.0,24.0,69.0,40.0,224.0
Meningioma,83.0,27.0,130.0,54.0,1269.0
Metastatic,85.0,28.0,107.0,48.0,440.0
Meningioma,7.0,91.0,46.0,119.0,1092.0
Meningioma,40.0,14.0,60.0,28.0,280.0
Metastatic,38.0,18.0,53.0,30.0,180.0
Glioma,67.0,66.0,138.0,128.0,4402.0
Meningioma,66.0,63.0,138.0,128.0,4680.0
Glioma,88.0,32.0,110.0,48.0,352.0
Meningioma,76.0,16.0,138.0,65.0,3038.0
Metastatic,86.0,28.0,114.0,51.0,644.0
Glioma,76.0,71.0,86.0,82.0,110.0
Meningioma,57.0,69.0,89.0,89.0,640.0
Metastatic,66.0,71.0,88.0,84.0,286.0
Glioma,84.0,15.0,106.0,30.0,330.0
Meningioma,60.0,9.0,122.0,51.0,2604.0
Metastatic,85.0,14.0,107.0,30.0,352.0
Meningioma,97.0,67.0,125.0,82.0,420.0
Metastatic,99.0,66.0,113.0,71.0,70.0
Glioma,73.0,60.0,97.0,74.0,336.0
Meningioma,66.0,45.0,103.0,81.0,1332.0
Metastatic,72.0,56.0,100.0,79.0,644.0
Meningioma,77.0,88.0,108.0,100.0,372.0
Meningioma,36.0,96.0,70.0,130.0,1156.0
Glioma,38.0,92.0,58.0,106.0,280.0
Meningioma,27.0,44.0,129.0,128.0,8568.0
Metastatic,30.0,91.0,71.0,114.0,943.0
Glioma,0.0,77.0,36.0,100.0,828.0
Meningioma,0.0,70.0,38.0,103.0,1254.0
Glioma,40.0,78.0,92.0,109.0,1612.0
Meningioma,38.0,79.0,96.0,118.0,2262.0
Metastatic,39.0,75.0,94.0,109.0,1870.0
Glioma,29.0,87.0,72.0,120.0,1419.0
Meningioma,27.0,85.0,94.0,131.0,3082.0
Metastatic,27.0,86.0,75.0,123.0,1776.0
Glioma,38.0,8.0,99.0,65.0,3477.0
Meningioma,29.0,2.0,131.0,68.0,6732.0
Glioma,45.0,98.0,70.0,112.0,350.0
Meningioma,28.0,64.0,120.0,130.0,6072.0
Metastatic,45.0,95.0,76.0,115.0,620.0
Glioma,80.0,26.0,84.0,30.0,16.0
Meningioma,68.0,10.0,106.0,47.0,1406.0
Metastatic,80.0,27.0,86.0,36.0,54.0
Glioma,61.0,99.0,107.0,131.0,1472.0
Meningioma,32.0,66.0,138.0,131.0,6890.0
Metastatic,57.0,99.0,107.0,131.0,1600.0
Meningioma,80.0,80.0,117.0,115.0,1295.0
Glioma,33.0,50.0,73.0,86.0,1440.0
Meningioma,10.0,46.0,76.0,99.0,3498.0
Metastatic,32.0,49.0,72.0,86.0,1480.0
Glioma,45.0,96.0,66.0,111.0,315.0
Meningioma,32.0,90.0,105.0,127.0,2701.0
Metastatic,45.0,95.0,73.0,114.0,532.0
Glioma,78.0,82.0,124.0,126.0,2024.0
Meningioma,63.0,77.0,124.0,128.0,3111.0
Metastatic,79.0,82.0,123.0,127.0,1980.0
Glioma,18.0,26.0,39.0,52.0,546.0
Meningioma,0.0,16.0,73.0,71.0,4015.0
Metastatic,9.0,29.0,38.0,52.0,667.0
Glioma,92.0,22.0,138.0,57.0,1610.0
Meningioma,81.0,10.0,138.0,60.0,2850.0
Metastatic,93.0,16.0,138.0,58.0,1890.0
Meningioma,79.0,87.0,138.0,129.0,2478.0
Glioma,46.0,76.0,53.0,82.0,42.0
Meningioma,21.0,71.0,70.0,94.0,1127.0
Metastatic,47.0,77.0,52.0,81.0,20.0
Glioma,96.0,15.0,129.0,45.0,990.0
Meningioma,60.0,9.0,138.0,60.0,3978.0
Metastatic,82.0,15.0,131.0,49.0,1666.0
Glioma,78.0,80.0,96.0,99.0,342.0
Meningioma,84.0,71.0,105.0,100.0,609.0
Glioma,70.0,9.0,71.0,10.0,1.0
Meningioma,62.0,9.0,69.0,14.0,35.0
Meningioma,18.0,57.0,96.0,110.0,4134.0
Glioma,0.0,74.0,51.0,107.0,1683.0
Meningioma,0.0,69.0,85.0,122.0,4505.0
Metastatic,0.0,72.0,55.0,106.0,1870.0
Meningioma,28.0,39.0,57.0,45.0,174.0
Meningioma,32.0,49.0,130.0,125.0,7448.0
Metastatic,58.0,99.0,70.0,114.0,180.0
Meningioma,45.0,37.0,57.0,43.0,72.0
Glioma,115.0,76.0,134.0,97.0,399.0
Meningioma,89.0,66.0,138.0,112.0,2254.0
Metastatic,110.0,76.0,134.0,99.0,552.0
Glioma,35.0,101.0,61.0,118.0,442.0
Meningioma,34.0,93.0,121.0,125.0,2784.0
Metastatic,29.0,83.0,65.0,123.0,1440.0
Glioma,36.0,72.0,90.0,126.0,2916.0
Meningioma,30.0,71.0,93.0,126.0,3465.0
Metastatic,36.0,95.0,87.0,126.0,1581.0
Glioma,85.0,32.0,117.0,60.0,896.0
Meningioma,82.0,25.0,138.0,63.0,2128.0
Metastatic,91.0,33.0,116.0,55.0,550.0
Glioma,2.0,18.0,74.0,78.0,4320.0
Meningioma,0.0,11.0,87.0,91.0,6960.0
Meningioma,63.0,66.0,119.0,98.0,1792.0
Metastatic,100.0,75.0,103.0,77.0,6.0
Glioma,88.0,7.0,130.0,44.0,1554.0
Meningioma,87.0,5.0,138.0,55.0,2550.0
Metastatic,82.0,3.0,138.0,49.0,2576.0
Glioma,45.0,38.0,67.0,54.0,352.0
Meningioma,8.0,16.0,86.0,70.0,4212.0
Metastatic,45.0,38.0,66.0,54.0,336.0
Meningioma,105.0,73.0,109.0,80.0,28.0
Glioma,0.0,67.0,34.0,92.0,850.0
Meningioma,2.0,69.0,35.0,94.0,825.0
Glioma,13.0,58.0,79.0,94.0,2376.0
Meningioma,0.0,36.0,87.0,118.0,7134.0
Metastatic,13.0,56.0,79.0,91.0,2310.0
Glioma,111.0,91.0,130.0,115.0,456.0
Meningioma,103.0,86.0,138.0,119.0,1155.0
Metastatic,112.0,89.0,137.0,117.0,700.0
Glioma,54.0,18.0,122.0,56.0,2584.0
Meningioma,51.0,13.0,131.0,47.0,2720.0
Glioma,78.0,52.0,121.0,98.0,1978.0
Meningioma,75.0,51.0,134.0,109.0,3422.0
Metastatic,81.0,54.0,118.0,98.0,1628.0
Glioma,75.0,76.0,102.0,103.0,729.0
Meningioma,69.0,73.0,115.0,122.0,2254.0
Metastatic,73.0,74.0,103.0,109.0,1050.0
Meningioma,71.0,12.0,123.0,48.0,1872.0
Meningioma,97.0,22.0,136.0,59.0,1443.0
Metastatic,102.0,32.0,111.0,44.0,108.0
Meningioma,41.0,72.0,58.0,79.0,119.0
Glioma,62.0,5.0,95.0,42.0,1221.0
Meningioma,52.0,2.0,109.0,44.0,2394.0
Metastatic,57.0,0.0,99.0,43.0,1806.0
Glioma,83.0,67.0,132.0,110.0,2107.0
Glioma,32.0,78.0,83.0,124.0,2346.0
Meningioma,29.0,70.0,90.0,128.0,3538.0
Glioma,49.0,5.0,71.0,25.0,440.0
Meningioma,55.0,14.0,110.0,36.0,1210.0
Metastatic,49.0,5.0,69.0,20.0,300.0
Glioma,0.0,9.0,79.0,70.0,4819.0
Meningioma,40.0,11.0,84.0,68.0,2508.0
Metastatic,40.0,55.0,47.0,60.0,35.0
Glioma,5.0,65.0,39.0,88.0,782.0
Meningioma,6.0,61.0,67.0,104.0,2623.0
Metastatic,24.0,65.0,49.0,89.0,600.0
Glioma,0.0,37.0,24.0,66.0,696.0
Meningioma,0.0,36.0,53.0,76.0,2120.0
Glioma,0.0,65.0,33.0,100.0,1155.0
Meningioma,0.0,67.0,50.0,100.0,1650.0
Glioma,45.0,10.0,89.0,43.0,1452.0
Meningioma,38.0,11.0,116.0,44.0,2574.0
Metastatic,41.0,6.0,92.0,45.0,1989.0
Meningioma,51.0,106.0,58.0,109.0,21.0
Meningioma,95.0,94.0,119.0,112.0,432.0
Glioma,76.0,37.0,94.0,64.0,486.0
Meningioma,66.0,26.0,85.0,68.0,798.0
Metastatic,73.0,34.0,98.0,66.0,800.0
Glioma,42.0,35.0,50.0,41.0,48.0
Meningioma,90.0,112.0,104.0,131.0,266.0
Meningioma,68.0,75.0,78.0,79.0,40.0
Meningioma,58.0,0.0,94.0,31.0,1116.0
Meningioma,113.0,100.0,122.0,109.0,81.0
Glioma,89.0,34.0,100.0,45.0,121.0
Meningioma,64.0,30.0,121.0,65.0,1995.0
Metastatic,88.0,34.0,101.0,45.0,143.0
Glioma,0.0,67.0,29.0,93.0,754.0
Meningioma,8.0,71.0,31.0,95.0,552.0
Meningioma,49.0,7.0,115.0,49.0,2772.0
Glioma,110.0,16.0,138.0,58.0,1176.0
Meningioma,82.0,0.0,128.0,49.0,2254.0
Metastatic,114.0,19.0,138.0,57.0,912.0
Glioma,55.0,4.0,84.0,25.0,609.0
Meningioma,56.0,3.0,95.0,30.0,1053.0
Metastatic,55.0,4.0,80.0,25.0,525.0
Glioma,81.0,66.0,119.0,87.0,798.0
Meningioma,55.0,64.0,138.0,109.0,3735.0
Metastatic,79.0,64.0,124.0,90.0,1170.0
Glioma,53.0,94.0,56.0,96.0,6.0
Meningioma,39.0,87.0,73.0,121.0,1156.0
Metastatic,47.0,88.0,63.0,104.0,256.0
Meningioma,45.0,5.0,138.0,58.0,4929.0
Meningioma,26.0,74.0,88.0,99.0,1550.0
Glioma,117.0,20.0,138.0,57.0,777.0
Meningioma,92.0,16.0,125.0,43.0,891.0
Metastatic,116.0,22.0,138.0,55.0,726.0
Glioma,35.0,34.0,59.0,51.0,408.0
Meningioma,14.0,3.0,103.0,76.0,6497.0
Metastatic,37.0,32.0,58.0,51.0,399.0
Meningioma,30.0,90.0,61.0,125.0,1085.0
Meningioma,65.0,10.0,135.0,64.0,3780.0
Glioma,117.0,32.0,130.0,41.0,117.0
Meningioma,100.0,23.0,138.0,91.0,2584.0
Metastatic,115.0,30.0,131.0,45.0,240.0
Glioma,81.0,68.0,118.0,101.0,1221.0
Metastatic,107.0,86.0,108.0,87.0,1.0
Meningioma,66.0,41.0,93.0,59.0,486.0
Meningioma,24.0,77.0,104.0,129.0,4160.0
Glioma,34.0,73.0,109.0,127.0,4050.0
Meningioma,30.0,62.0,119.0,129.0,5963.0
Metastatic,51.0,73.0,92.0,120.0,1927.0
Meningioma,50.0,49.0,74.0,57.0,192.0
Glioma,65.0,79.0,85.0,103.0,480.0
Meningioma,45.0,77.0,106.0,108.0,1891.0
Meningioma,34.0,39.0,86.0,54.0,780.0
Meningioma,64.0,108.0,91.0,130.0,594.0
Glioma,7.0,14.0,31.0,40.0,624.0
Meningioma,3.0,24.0,34.0,43.0,589.0
Meningioma,46.0,34.0,58.0,120.0,1032.0
Metastatic,45.0,37.0,50.0,42.0,25.0
Glioma,107.0,70.0,128.0,104.0,714.0
Meningioma,86.0,67.0,122.0,110.0,1548.0
Glioma,23.0,42.0,64.0,79.0,1517.0
Meningioma,0.0,11.0,94.0,91.0,7520.0
Metastatic,20.0,40.0,67.0,79.0,1833.0
Glioma,2.0,63.0,71.0,94.0,2139.0
Meningioma,0.0,51.0,86.0,109.0,4988.0
Metastatic,8.0,66.0,54.0,89.0,1058.0
Glioma,64.0,13.0,131.0,67.0,3618.0
Meningioma,54.0,7.0,138.0,81.0,6216.0
Metastatic,63.0,13.0,137.0,68.0,4070.0
Meningioma,33.0,86.0,63.0,114.0,840.0
Glioma,101.0,99.0,127.0,118.0,494.0
Meningioma,89.0,95.0,105.0,122.0,432.0
Metastatic,98.0,97.0,128.0,122.0,750.0
Glioma,30.0,10.0,67.0,48.0,1406.0
Meningioma,24.0,7.0,108.0,49.0,3528.0
Metastatic,19.0,8.0,78.0,49.0,2419.0
Meningioma,69.0,27.0,93.0,48.0,504.0
Metastatic,74.0,31.0,84.0,34.0,30.0
Meningioma,35.0,27.0,50.0,53.0,390.0
Glioma,117.0,90.0,138.0,118.0,588.0
Meningioma,67.0,81.0,138.0,131.0,3550.0
Metastatic,113.0,100.0,130.0,119.0,323.0
Glioma,30.0,71.0,132.0,121.0,5100.0
Meningioma,27.0,65.0,136.0,125.0,6540.0
Glioma,98.0,47.0,106.0,50.0,24.0
Meningioma,68.0,15.0,126.0,57.0,2436.0
Metastatic,78.0,38.0,119.0,54.0,656.0
Meningioma,34.0,75.0,85.0,112.0,1887.0
Meningioma,37.0,10.0,106.0,60.0,3450.0
Glioma,77.0,68.0,112.0,88.0,700.0
Meningioma,69.0,67.0,120.0,98.0,1581.0
Metastatic,75.0,66.0,118.0,90.0,1032.0
Glioma,36.0,7.0,138.0,59.0,5304.0
Meningioma,29.0,2.0,138.0,73.0,7739.0
Metastatic,36.0,12.0,111.0,62.0,3750.0
Meningioma,54.0,44.0,62.0,52.0,64.0
Glioma,12.0,39.0,58.0,65.0,1196.0
Meningioma,20.0,15.0,108.0,66.0,4488.0
Metastatic,12.0,43.0,59.0,67.0,1128.0
Glioma,62.0,26.0,78.0,44.0,288.0
Meningioma,45.0,18.0,87.0,51.0,1386.0
Glioma,15.0,26.0,50.0,66.0,1400.0
Meningioma,0.0,15.0,76.0,68.0,4028.0
Metastatic,20.0,28.0,47.0,65.0,999.0
Glioma,88.0,41.0,105.0,49.0,136.0
Meningioma,78.0,15.0,137.0,60.0,2655.0
Metastatic,78.0,28.0,109.0,56.0,868.0
Glioma,96.0,21.0,126.0,52.0,930.0
Meningioma,69.0,10.0,138.0,63.0,3657.0
Metastatic,90.0,21.0,132.0,55.0,1428.0
Glioma,2.0,64.0,59.0,91.0,1539.0
Meningioma,0.0,44.0,101.0,115.0,7171.0
Metastatic,45.0,67.0,46.0,68.0,1.0
Glioma,66.0,22.0,93.0,43.0,567.0
Meningioma,62.0,15.0,104.0,50.0,1470.0
Metastatic,66.0,22.0,93.0,43.0,567.0
Glioma,71.0,38.0,86.0,51.0,195.0
Meningioma,70.0,25.0,98.0,53.0,784.0
Metastatic,71.0,33.0,92.0,51.0,378.0
Glioma,76.0,40.0,98.0,59.0,418.0
Meningioma,59.0,25.0,110.0,66.0,2091.0
Metastatic,64.0,36.0,101.0,65.0,1073.0
Glioma,15.0,44.0,57.0,65.0,882.0
Meningioma,23.0,18.0,108.0,66.0,4080.0
Metastatic,16.0,44.0,58.0,67.0,966.0
Meningioma,62.0,29.0,108.0,65.0,1656.0
Glioma,40.0,116.0,52.0,127.0,132.0
Meningioma,27.0,78.0,79.0,131.0,2756.0
Metastatic,39.0,116.0,52.0,129.0,169.0
Glioma,11.0,56.0,89.0,75.0,1482.0
Meningioma,0.0,51.0,112.0,114.0,7056.0
Glioma,18.0,34.0,66.0,64.0,1440.0
Meningioma,9.0,19.0,86.0,75.0,4312.0
Metastatic,14.0,23.0,69.0,69.0,2530.0
Glioma,113.0,78.0,132.0,96.0,342.0
Meningioma,89.0,65.0,138.0,113.0,2352.0
Metastatic,110.0,78.0,133.0,100.0,506.0
Meningioma,34.0,76.0,107.0,122.0,3358.0
Meningioma,63.0,108.0,104.0,128.0,820.0
Glioma,94.0,80.0,99.0,89.0,45.0
Meningioma,53.0,68.0,120.0,102.0,2278.0
Metastatic,93.0,79.0,99.0,91.0,72.0
Meningioma,85.0,35.0,97.0,38.0,36.0
Meningioma,60.0,20.0,118.0,63.0,2494.0
Glioma,70.0,23.0,82.0,35.0,144.0
Meningioma,47.0,8.0,137.0,62.0,4860.0
Metastatic,67.0,20.0,88.0,40.0,420.0
Glioma,52.0,42.0,68.0,54.0,192.0
Meningioma,30.0,21.0,90.0,68.0,2820.0
Metastatic,41.0,34.0,74.0,66.0,1056.0
Meningioma,72.0,85.0,136.0,129.0,2816.0
Metastatic,88.0,108.0,115.0,129.0,567.0
Glioma,54.0,35.0,77.0,56.0,483.0
Meningioma,45.0,35.0,102.0,59.0,1368.0
Glioma,116.0,82.0,124.0,87.0,40.0
Meningioma,91.0,72.0,138.0,111.0,1833.0
Metastatic,95.0,79.0,126.0,97.0,558.0
Meningioma,24.0,64.0,72.0,93.0,1392.0
Glioma,36.0,21.0,55.0,39.0,342.0
Meningioma,25.0,2.0,95.0,55.0,3710.0
Metastatic,37.0,22.0,55.0,38.0,288.0
Glioma,110.0,16.0,138.0,58.0,1176.0
Meningioma,82.0,0.0,128.0,49.0,2254.0
Metastatic,113.0,18.0,138.0,57.0,975.0
Meningioma,38.0,33.0,63.0,56.0,575.0
Glioma,33.0,76.0,74.0,112.0,1476.0
Meningioma,32.0,69.0,112.0,122.0,4240.0
Metastatic,32.0,75.0,79.0,112.0,1739.0
Meningioma,88.0,21.0,100.0,28.0,84.0
Meningioma,101.0,23.0,138.0,90.0,2479.0
Metastatic,119.0,39.0,127.0,43.0,32.0
Meningioma,22.0,59.0,38.0,69.0,160.0
Glioma,40.0,96.0,62.0,117.0,462.0
Meningioma,24.0,90.0,115.0,128.0,3458.0
Metastatic,36.0,91.0,69.0,122.0,1023.0
Meningioma,93.0,77.0,106.0,92.0,195.0
Meningioma,11.0,6.0,128.0,61.0,6435.0
Meningioma,32.0,19.0,52.0,47.0,560.0
Glioma,62.0,14.0,106.0,39.0,1100.0
Meningioma,23.0,6.0,129.0,64.0,6148.0
Metastatic,57.0,2.0,110.0,51.0,2597.0
Meningioma,18.0,14.0,104.0,61.0,4042.0
Metastatic,32.0,32.0,88.0,74.0,2352.0
Meningioma,48.0,100.0,49.0,102.0,2.0
Glioma,87.0,37.0,112.0,49.0,300.0
Meningioma,60.0,10.0,130.0,94.0,5880.0
Metastatic,80.0,31.0,112.0,64.0,1056.0
Glioma,80.0,80.0,122.0,123.0,1806.0
Meningioma,65.0,78.0,124.0,124.0,2714.0
Metastatic,82.0,81.0,122.0,123.0,1680.0
Glioma,55.0,62.0,79.0,88.0,624.0
Meningioma,32.0,63.0,57.0,79.0,400.0
Metastatic,56.0,62.0,83.0,91.0,783.0
Glioma,34.0,28.0,46.0,36.0,96.0
Meningioma,6.0,17.0,85.0,65.0,3792.0
Glioma,59.0,82.0,85.0,118.0,936.0
Meningioma,37.0,82.0,86.0,119.0,1813.0
Metastatic,59.0,87.0,84.0,118.0,775.0
Meningioma,40.0,29.0,96.0,53.0,1344.0
Glioma,50.0,20.0,52.0,22.0,4.0
Meningioma,25.0,6.0,69.0,50.0,1936.0
Metastatic,40.0,14.0,61.0,29.0,315.0
Glioma,43.0,108.0,53.0,112.0,40.0
Meningioma,39.0,101.0,87.0,117.0,768.0
Metastatic,37.0,108.0,52.0,120.0,180.0
Meningioma,20.0,6.0,79.0,48.0,2478.0
Glioma,77.0,22.0,98.0,34.0,252.0
Meningioma,57.0,20.0,120.0,65.0,2835.0
Glioma,15.0,38.0,56.0,64.0,1066.0
Meningioma,0.0,19.0,92.0,66.0,4324.0
Metastatic,10.0,33.0,62.0,66.0,1716.0
Meningioma,75.0,23.0,103.0,55.0,896.0
Glioma,6.0,59.0,62.0,116.0,3192.0
Meningioma,0.0,54.0,69.0,121.0,4623.0
Metastatic,6.0,74.0,38.0,88.0,448.0
Glioma,96.0,10.0,106.0,17.0,70.0
Meningioma,36.0,0.0,135.0,54.0,5346.0
Metastatic,95.0,7.0,109.0,18.0,154.0
Glioma,6.0,69.0,64.0,107.0,2204.0
Meningioma,9.0,65.0,72.0,107.0,2646.0
Metastatic,13.0,76.0,39.0,95.0,494.0
Glioma,83.0,87.0,128.0,115.0,1260.0
Meningioma,57.0,78.0,138.0,122.0,3564.0
Metastatic,84.0,84.0,127.0,114.0,1290.0
Meningioma,66.0,21.0,129.0,56.0,2205.0
Glioma,0.0,7.0,74.0,67.0,4440.0
Meningioma,0.0,5.0,91.0,93.0,8008.0
Metastatic,2.0,17.0,57.0,58.0,2255.0
Meningioma,40.0,11.0,102.0,39.0,1736.0
Glioma,68.0,21.0,86.0,36.0,270.0
Meningioma,46.0,5.0,122.0,47.0,3192.0
Metastatic,58.0,9.0,93.0,37.0,980.0
Meningioma,85.0,90.0,97.0,96.0,72.0
Glioma,75.0,27.0,89.0,38.0,154.0
Meningioma,40.0,7.0,114.0,39.0,2368.0
Metastatic,73.0,24.0,92.0,37.0,247.0
Meningioma,98.0,65.0,138.0,93.0,1120.0
Glioma,11.0,67.0,68.0,103.0,2052.0
Meningioma,42.0,67.0,74.0,102.0,1120.0
Metastatic,21.0,73.0,25.0,79.0,24.0
Glioma,45.0,83.0,99.0,131.0,2592.0
Meningioma,31.0,84.0,135.0,131.0,4888.0
Metastatic,46.0,84.0,100.0,131.0,2538.0
Meningioma,85.0,83.0,114.0,110.0,783.0
Glioma,35.0,90.0,67.0,107.0,544.0
Meningioma,29.0,79.0,81.0,125.0,2392.0
Metastatic,32.0,81.0,67.0,109.0,980.0
Glioma,33.0,84.0,76.0,117.0,1419.0
Meningioma,32.0,68.0,82.0,120.0,2600.0
Meningioma,66.0,72.0,95.0,118.0,1334.0
Glioma,90.0,72.0,138.0,105.0,1584.0
Meningioma,88.0,53.0,138.0,110.0,2850.0
Metastatic,91.0,77.0,138.0,108.0,1457.0
Glioma,35.0,70.0,81.0,108.0,1748.0
Meningioma,18.0,68.0,82.0,117.0,3136.0
Metastatic,35.0,68.0,84.0,108.0,1960.0
Glioma,113.0,28.0,130.0,42.0,238.0
Meningioma,81.0,9.0,138.0,58.0,2793.0
Metastatic,113.0,25.0,133.0,43.0,360.0
Meningioma,82.0,27.0,106.0,41.0,336.0
Glioma,27.0,68.0,54.0,91.0,621.0
Meningioma,8.0,28.0,80.0,103.0,5400.0
Metastatic,22.0,57.0,60.0,93.0,1368.0
Meningioma,1.0,70.0,70.0,120.0,3450.0
Meningioma,92.0,28.0,135.0,59.0,1333.0
Glioma,21.0,91.0,36.0,106.0,225.0
Meningioma,12.0,70.0,69.0,115.0,2565.0
Metastatic,19.0,91.0,35.0,106.0,240.0
Glioma,5.0,14.0,48.0,59.0,1935.0
Meningioma,0.0,8.0,92.0,91.0,7636.0
Metastatic,6.0,16.0,46.0,55.0,1560.0
Glioma,43.0,99.0,65.0,125.0,572.0
Meningioma,45.0,96.0,66.0,126.0,630.0
Meningioma,61.0,24.0,78.0,31.0,119.0
Glioma,129.0,45.0,133.0,49.0,16.0
Meningioma,55.0,3.0,125.0,53.0,3500.0
Meningioma,38.0,24.0,91.0,47.0,1219.0
Meningioma,57.0,15.0,138.0,79.0,5184.0
Metastatic,76.0,19.0,113.0,57.0,1406.0
Glioma,68.0,113.0,89.0,122.0,189.0
Meningioma,71.0,95.0,102.0,127.0,992.0
Metastatic,67.0,103.0,98.0,131.0,868.0
Glioma,47.0,93.0,92.0,122.0,1305.0
Meningioma,23.0,73.0,109.0,127.0,4644.0
Metastatic,59.0,95.0,88.0,116.0,609.0
Glioma,36.0,8.0,88.0,47.0,2028.0
Meningioma,33.0,0.0,133.0,64.0,6400.0
Metastatic,34.0,1.0,109.0,47.0,3450.0
Meningioma,56.0,113.0,66.0,118.0,50.0
Glioma,39.0,87.0,67.0,108.0,588.0
Meningioma,21.0,73.0,118.0,122.0,4753.0
Metastatic,39.0,86.0,66.0,109.0,621.0
Glioma,54.0,87.0,92.0,110.0,874.0
Meningioma,46.0,78.0,95.0,112.0,1666.0
